player,team,iso_freq,tra_freq,prh_freq,prr_freq,postup_freq,spotup_freq,handoff_freq,cut_freq,iso_pts,tra_pts,prh_pts,prr_pts,postup_pts,spotup_pts,handoff_pts,cut_pts,on_ball_creation,off_ball_finishing,transition_impact,iso_impact,prh_impact,spotup_impact,overall_efficiency,play_diversity,pca1,pca2,cluster_kmeans,cluster_dbscan,cluster_kmodes,archetype
Damian Lillard,POR,0.179,0.097,0.517,0.0,0.0,0.05,0.05,0.014,1.07,1.17,1.15,0.0,0.0,1.19,1.09,1.16,0.746,0.064,0.11349,0.19153,0.59455,0.0595,1.1354024243270096,3.0,6.3802643430256,0.4329847051022046,0,-1,2,⚡ Iso Creator / Star Guard
Lebron James,LAL,0.175,0.195,0.273,0.008,0.101,0.062,0.037,0.033,0.9,1.13,0.99,1.08,0.97,1.01,0.72,1.4,0.5860000000000001,0.10300000000000001,0.22035,0.1575,0.27027,0.06262,1.007002261304296,5.0,3.044294703885021,2.707769250980942,0,-1,2,⚡ Iso Creator / Star Guard
Luka Doncic,DAL,0.15,0.108,0.463,0.0,0.034,0.061,0.054,0.017,1.02,0.96,1.04,0.0,1.02,0.93,1.03,1.47,0.7010000000000001,0.078,0.10368,0.153,0.48152000000000006,0.05673,1.0261781273662027,5.0,5.6238802607128635,1.6871070141927813,0,-1,2,⚡ Iso Creator / Star Guard
Jayson Tatum,BOS,0.158,0.14,0.255,0.029,0.055,0.132,0.061,0.025,1.0,1.23,1.02,1.18,0.87,1.07,0.82,1.26,0.529,0.186,0.17220000000000002,0.158,0.2601,0.14124,1.0469356712901337,6.0,2.4263064177237936,2.8891919787855644,0,-1,2,⚡ Iso Creator / Star Guard
Giannis Antetokounmpo,MIL,0.149,0.267,0.068,0.066,0.117,0.103,0.015,0.068,0.9,1.14,1.1,1.17,0.92,1.0,1.35,1.29,0.34900000000000003,0.237,0.30438,0.1341,0.0748,0.103,1.065779600157351,7.0,-0.11109710569922847,3.7905261525672627,2,-1,1,✂️ Off-Ball Cutter / Finisher
Kawhi Leonard,LAC,0.147,0.137,0.328,0.012,0.106,0.111,0.037,0.01,1.05,1.23,0.97,1.0,1.01,1.13,0.72,1.64,0.618,0.133,0.16851000000000002,0.15435,0.31816,0.12542999999999999,1.0456644132368642,5.0,3.1628863971126604,3.049826621239126,0,-1,2,⚡ Iso Creator / Star Guard
DeMar DeRozan,SAS,0.139,0.132,0.346,0.0,0.094,0.113,0.038,0.027,1.13,1.22,1.05,0.0,1.04,0.92,1.06,1.29,0.617,0.14,0.16104000000000002,0.15707,0.3633,0.10396000000000001,1.077885263129488,5.0,3.6864160143232327,2.2686879678236735,0,-1,2,⚡ Iso Creator / Star Guard
Pascal Siakam,TOR,0.176,0.217,0.142,0.037,0.122,0.144,0.036,0.046,0.88,1.17,0.82,1.1,0.92,1.01,0.82,1.52,0.4759999999999999,0.227,0.25389,0.15488,0.11643999999999999,0.14543999999999999,1.003293477170333,5.0,0.7192709471600621,2.8540094006161105,0,13,0,⚡ Iso Creator / Star Guard
Spencer Dinwiddie,BKN,0.148,0.139,0.482,0.0,0.0,0.111,0.027,0.017,0.95,1.05,0.89,0.0,0.0,1.03,0.79,1.63,0.657,0.128,0.14595000000000002,0.14059999999999997,0.42898,0.11433,0.9511904751610493,4.0,4.508129815892633,-0.1126066434792572,0,-1,2,⚡ Iso Creator / Star Guard
Devin Booker,PHX,0.114,0.19,0.273,0.008,0.05,0.084,0.082,0.047,0.95,1.19,0.92,0.57,0.94,1.05,1.01,1.59,0.519,0.139,0.2261,0.1083,0.25116000000000005,0.08820000000000001,1.041120281791132,5.0,2.1475776229473786,1.4104735238574344,0,-1,2,⚡ Iso Creator / Star Guard
Shai Gilgeous-Alexander,OKC,0.142,0.173,0.376,0.0,0.0,0.187,0.044,0.02,1.0,1.14,0.96,0.0,0.0,1.11,0.79,1.08,0.562,0.207,0.19721999999999998,0.142,0.36096,0.20757,1.0234713364931303,4.0,2.738985691400214,-0.6679248144843438,0,0,0,⚡ Iso Creator / Star Guard
Brandon Ingram,NOP,0.134,0.185,0.233,0.01,0.033,0.209,0.056,0.025,0.96,1.14,0.9,2.0,0.7,1.12,1.1,1.52,0.456,0.244,0.21089999999999998,0.12864,0.20970000000000003,0.23408,1.0463502813035588,5.0,0.8126736617843819,1.7108872871394551,0,-1,0,⚡ Iso Creator / Star Guard
CJ McCollum,POR,0.133,0.145,0.363,0.0,0.0,0.139,0.058,0.019,0.88,1.1,0.93,0.0,0.0,1.16,0.99,1.03,0.554,0.158,0.1595,0.11704,0.33759,0.16124,0.9945857631335056,5.0,3.205454461849739,-0.46655446885693846,0,0,2,⚡ Iso Creator / Star Guard
Zach Lavine,CHI,0.114,0.149,0.372,0.0,0.007,0.108,0.088,0.044,0.91,1.18,0.89,0.0,0.55,0.95,0.96,1.41,0.581,0.152,0.17581999999999998,0.10374000000000001,0.33108,0.1026,0.9791496587537986,5.0,3.100856321835041,0.14039178529365284,0,-1,2,⚡ Iso Creator / Star Guard
Julius Randle,NYK,0.151,0.11,0.044,0.095,0.151,0.196,0.033,0.056,0.76,0.99,0.95,0.95,0.92,0.83,1.0,1.49,0.379,0.347,0.1089,0.11476,0.0418,0.16268,0.9255382764048583,6.0,0.06269705129815394,4.283065786824801,2,-1,1,✂️ Off-Ball Cutter / Finisher
