Name,Team,Iso-freq,iso-pts,tra-freq,tra-pts,p&rh-freq,p&rh-pts,p&rr-pts,p&rr-pts,postup-freq,postup-pts,spotup-freq,spotup-pts,handoff-freq,handoff-pts,cut-freq,cut-pts
James Harden,HOU,0.45,1.12,0.199,1.1,0.179,0.98,0,0,0,0,0.049,1.26,0.027,1.14,0.016,1.32
Russell Westbrook,OKC,0.25,0.87,0.245,1.01,0.124,0.93,0,0,0.09,0.8,0.146,0.88,0.016,0.89,0.024,1.07
Damian Lillard,POR,0.179,1.07,0.097,1.17,0.517,1.15,0,0,0,0,0.05,1.19,0.05,1.09,0.014,1.16
Lebron James,LAL,0.175,0.9,0.195,1.13,0.273,0.99,0.008,1.08,0.101,0.97,0.062,1.01,0.037,0.72,0.033,1.4
Luka Doncic,DAL,0.15,1.02,0.108,0.96,0.463,1.04,0,0,0.034,1.02,0.061,0.93,0.054,1.03,0.017,1.47
Jayson Tatum,BOS,0.158,1,0.14,1.23,0.255,1.02,0.029,1.18,0.055,0.87,0.132,1.07,0.061,0.82,0.025,1.26
Giannis Antetokounmpo,MIL,0.149,0.9,0.267,1.14,0.068,1.1,0.066,1.17,0.117,0.92,0.103,1,0.015,1.35,0.068,1.29
Kawhi Leonard,LAC,0.147,1.05,0.137,1.23,0.328,0.97,0.012,1,0.106,1.01,0.111,1.13,0.037,0.72,0.01,1.64
DeMar DeRozan,SAS,0.139,1.13,0.132,1.22,0.346,1.05,0,0,0.094,1.04,0.113,0.92,0.038,1.06,0.027,1.29
Pascal Siakam,TOR,0.176,0.88,0.217,1.17,0.142,0.82,0.037,1.1,0.122,0.92,0.144,1.01,0.036,0.82,0.046,1.52
Chris Paul,OKC,0.179,0.99,0.131,1.02,0.487,1.08,0,0,0.009,0.82,0.082,1.21,0.019,0.73,0,0
Spencer Dinwiddie,BKN,0.148,0.95,0.139,1.05,0.482,0.89,0,0,0,0,0.111,1.03,0.027,0.79,0.017,1.63
Devin Booker,PHX,0.114,0.95,0.19,1.19,0.273,0.92,0.008,0.57,0.05,0.94,0.084,1.05,0.082,1.01,0.047,1.59
Shai Gilgeous-Alexander,OKC,0.142,1,0.173,1.14,0.376,0.96,0,0,0,0,0.187,1.11,0.044,0.79,0.02,1.08
Brandon Ingram,NOP,0.134,0.96,0.185,1.14,0.233,0.9,0.01,2,0.033,0.7,0.209,1.12,0.056,1.1,0.025,1.52
CJ McCollum,POR,0.133,0.88,0.145,1.1,0.363,0.93,0,0,0,0,0.139,1.16,0.058,0.99,0.019,1.03
Zach Lavine,CHI,0.114,0.91,0.149,1.18,0.372,0.89,0,0,0.007,0.55,0.108,0.95,0.088,0.96,0.044,1.41
Julius Randle,NYK,0.151,0.76,0.11,0.99,0.044,0.95,0.095,0.95,0.151,0.92,0.196,0.83,0.033,1,0.056,1.49
Khris Middleton,MIL,0.129,0.98,0.179,1.18,0.256,0.99,0.009,1.18,0.083,1.01,0.137,1.34,0.051,1.25,0.025,1.41
Trae Young,ATL,0.085,0.97,0.165,1.08,0.533,0.98,0,0,0,0,0.06,1.33,0.072,0.85,0,0
Austin Rivers,HOU,0.228,1.04,0.181,1.14,0.133,0.9,0,0,0,0,0.314,1,0.045,0.93,0,0
